UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Vibration Sensor [g],Acoustic Emission [dB],Current Draw [A],RUL,failure_mode,time_to_failure
1,M14860,M,298.1,308.6,1551,42.8,0,0,No Failure,0.5496714153011233,56.60752634756389,10.696572495333635,253,No Failure,253
2,L47181,L,298.2,308.7,1408,46.3,3,0,No Failure,0.4861735698828815,58.47250268473174,10.566647185071332,250,No Failure,250
3,L47182,L,298.1,308.5,1498,49.4,5,0,No Failure,0.5647688538100692,57.01309469477429,8.126960308389018,248,No Failure,248
4,L47183,L,298.2,308.6,1433,39.5,7,0,No Failure,0.6523029856408026,60.5520902347306,11.159168443527475,246,No Failure,246
5,L47184,L,298.2,308.7,1408,40.0,9,0,No Failure,0.4765846625276664,65.98589265730956,7.019834648846764,244,No Failure,244
6,M14865,M,298.1,308.6,1425,41.9,11,0,No Failure,0.4765863043050819,56.14478921429398,8.691631348479342,242,No Failure,242
7,L47186,L,298.1,308.6,1558,42.4,14,0,No Failure,0.6579212815507391,65.00410248884207,6.001824374204384,239,No Failure,239
8,L47187,L,298.1,308.6,1527,40.2,16,0,No Failure,0.5767434729152909,56.09163963826556,13.117253033925628,237,No Failure,237
9,M14868,M,298.3,308.7,1667,28.6,18,0,No Failure,0.4530525614065048,55.76186393751558,9.536901012109409,235,No Failure,235
10,M14869,M,298.5,309.0,1741,28.0,21,0,No Failure,0.5542560043585965,64.09297309171606,14.333768069632622,232,No Failure,232
11,H29424,H,298.4,308.9,1782,23.9,24,0,No Failure,0.4536582307187538,64.60968189003809,11.60589985303899,229,No Failure,229
12,H29425,H,298.6,309.1,1423,44.3,29,0,No Failure,0.4534270246429743,64.25704968381328,10.89619642670205,224,No Failure,224
13,M14872,M,298.6,309.1,1339,51.1,34,0,No Failure,0.5241962271566034,53.421012958909294,8.827544611438002,219,No Failure,219
14,M14873,M,298.6,309.2,1742,30.0,37,0,No Failure,0.3086719755342202,57.670245109639744,7.90729992862516,216,No Failure,216
15,L47194,L,298.6,309.2,2035,19.6,40,0,No Failure,0.3275082167486967,64.1149429600166,11.04594314779389,213,No Failure,213
16,L47195,L,298.6,309.2,1542,48.4,42,0,No Failure,0.4437712470759027,60.20770920281947,9.856971981454036,211,No Failure,211
17,M14876,M,298.6,309.2,1311,46.6,44,0,No Failure,0.3987168879665576,54.63153576901268,7.321459369029398,209,No Failure,209
18,M14877,M,298.7,309.2,1410,45.6,47,0,No Failure,0.5314247332595274,62.29158969562721,6.966283166983363,206,No Failure,206
19,H29432,H,298.8,309.2,1306,54.5,50,0,No Failure,0.4091975924478789,56.42596370504265,8.082592541712833,203,No Failure,203
20,M14879,M,298.9,309.3,1632,32.5,55,0,No Failure,0.3587696298664709,68.97262424196106,13.64193445053246,198,No Failure,198
21,H29434,H,298.9,309.3,1375,42.7,58,0,No Failure,0.6465648768921555,67.7242073120913,14.426555836022608,195,No Failure,195
22,L47201,L,298.8,309.3,1450,44.8,63,0,No Failure,0.4774223699513464,63.02048713177784,10.40997829461782,190,No Failure,190
23,M14882,M,298.9,309.3,1581,30.7,65,0,No Failure,0.5067528204687923,66.80503352384886,10.297885592482578,188,No Failure,188
24,L47203,L,299.0,309.4,1758,25.7,68,0,No Failure,0.3575251813786543,60.32395675061691,9.32735925634096,185,No Failure,185
25,M14884,M,299.0,309.4,1561,37.3,70,0,No Failure,0.4455617275474817,63.82718747187508,8.131029303380995,183,No Failure,183
26,L47205,L,299.0,309.5,1861,23.3,73,0,No Failure,0.5110922589709866,67.38860147651037,12.750358115214487,180,No Failure,180
27,L47206,L,299.1,309.5,1512,39.0,75,0,No Failure,0.3849006422577697,61.22749340897156,13.747152787794272,178,No Failure,178
28,H29441,H,299.1,309.4,1811,24.6,77,0,No Failure,0.5375698018345672,58.72406414242858,8.213161828321429,176,No Failure,176
29,L47208,L,299.1,309.4,1439,44.2,82,0,No Failure,0.4399361310081195,51.47689020911442,9.834323243150797,171,No Failure,171
30,L47209,L,299.0,309.4,1693,30.1,84,0,No Failure,0.4708306250206723,59.58433237139253,9.100267398579664,169,No Failure,169
31,M14890,M,299.1,309.5,1339,48.2,86,0,No Failure,0.4398293387770603,64.11711592281156,9.159521850270046,167,No Failure,167
32,L47211,L,299.0,309.4,1798,25.5,89,0,No Failure,0.6852278184508938,64.72816713783814,12.371816510859723,164,No Failure,164
